Orthogroup	Brachy	Maize	Rice	Sorghum	Telongatum
OG0000000	BrachyLOC104583041, BrachyLOC104583190, BrachyLOC112270727, BrachyLOC112271044	MaizeLOC100274682, MaizeLOC100280201, MaizeLOC100381458, MaizeLOC103628186, MaizeLOC103628430, MaizeLOC103628624, MaizeLOC103629115, MaizeLOC103629247, MaizeLOC103629756, MaizeLOC103631198, MaizeLOC103631328, MaizeLOC103632679, MaizeLOC103633926, MaizeLOC103634325, MaizeLOC103635194, MaizeLOC103635282, MaizeLOC103636004, MaizeLOC103636211, MaizeLOC103637932, MaizeLOC103638295, MaizeLOC103638606, MaizeLOC103638965, MaizeLOC103639934, MaizeLOC103640108, MaizeLOC103641005, MaizeLOC103641231, MaizeLOC103641345, MaizeLOC103641413, MaizeLOC103642494, MaizeLOC103643171, MaizeLOC103644503, MaizeLOC103644717, MaizeLOC103646364, MaizeLOC103646385, MaizeLOC103646990, MaizeLOC103650004, MaizeLOC103650145, MaizeLOC103650381, MaizeLOC103650522, MaizeLOC103652139, MaizeLOC103653058, MaizeLOC103653270, MaizeLOC103653288, MaizeLOC109940891, MaizeLOC109941081, MaizeLOC109941319, MaizeLOC109941384, MaizeLOC109942616, MaizeLOC111589520, MaizeLOC111589958, MaizeLOC118472100, MaizeLOC118472182, MaizeLOC118472252, MaizeLOC118472903, MaizeLOC118472936, MaizeLOC118472956, MaizeLOC118472987, MaizeLOC118473106, MaizeLOC118473120, MaizeLOC118473257, MaizeLOC118473297, MaizeLOC118473401, MaizeLOC118473546, MaizeLOC118476010, MaizeLOC118476014, MaizeLOC118476123, MaizeLOC118476160, MaizeLOC118476239, MaizeLOC118476321, MaizeLOC118476388, MaizeLOC118476440, MaizeLOC118476664, MaizeLOC118476698, MaizeLOC118476724, MaizeLOC118476771, MaizeLOC118476892, MaizeLOC118476924	RiceLOC107275293, RiceLOC107277603, RiceLOC107279704, RiceLOC107280940, RiceLOC107281978, RiceLOC4329799, RiceLOC4345143, RiceLOC4345811, RiceLOC4346027, RiceLOC4346636, RiceLOC4350600	SorghumLOC110430787, SorghumLOC110432000, SorghumLOC110433661, SorghumLOC110435753, SorghumLOC110435906, SorghumLOC110436587, SorghumLOC110436768, SorghumLOC8056653, SorghumLOC8059490, SorghumLOC8060383, SorghumLOC8063248, SorghumLOC8063427, SorghumLOC8065219, SorghumLOC8067534, SorghumLOC8068241, SorghumLOC8069440, SorghumLOC8069595, SorghumLOC8071655, SorghumLOC8071832, SorghumLOC8073043, SorghumLOC8078302, SorghumLOC8081649, SorghumLOC8084852, SorghumLOC8155611	GWHGABKY034789
OG0000001	BrachyLOC100821515, BrachyLOC100822590, BrachyLOC100824438, BrachyLOC100826180, BrachyLOC100827331, BrachyLOC100829059, BrachyLOC100829939, BrachyLOC100831876, BrachyLOC100833375, BrachyLOC100834642, BrachyLOC100835202, BrachyLOC100837053, BrachyLOC100845782, BrachyLOC104582138, BrachyLOC104582294, BrachyLOC104582873, BrachyLOC104583072, BrachyLOC106865524, BrachyLOC106866059, BrachyLOC106866087, BrachyLOC106866370, BrachyLOC106866423, BrachyLOC112269446, BrachyLOC112270720, BrachyLOC112270744, BrachyLOC112272421	MaizeLOC103629659, MaizeLOC103631823, MaizeLOC103637143, MaizeLOC103637388, MaizeLOC103638426, MaizeLOC103639229, MaizeLOC103639956, MaizeLOC103640177, MaizeLOC103640241, MaizeLOC103643318, MaizeLOC103643853, MaizeLOC103644074, MaizeLOC103644542, MaizeLOC103644606, MaizeLOC103644819, MaizeLOC103645802, MaizeLOC103646140, MaizeLOC103651765, MaizeLOC103653316, MaizeLOC103655721, MaizeLOC109939995, MaizeLOC109940445, MaizeLOC109941826, MaizeLOC109942885, MaizeLOC109945191, MaizeLOC111589565, MaizeLOC111589568, MaizeLOC111589967, MaizeLOC111590275, MaizeLOC111591127, MaizeLOC118473508, MaizeLOC118477059	RiceLOC107278484, RiceLOC107278801, RiceLOC107280463, RiceLOC107280466, RiceLOC107280813, RiceLOC107281019, RiceLOC107281575, RiceLOC107281968, RiceLOC112937353, RiceLOC112937367, RiceLOC112937904, RiceLOC4326183	SorghumLOC110429622, SorghumLOC110429940, SorghumLOC110430253, SorghumLOC110430479, SorghumLOC110430969, SorghumLOC110431113, SorghumLOC110431162, SorghumLOC110431336, SorghumLOC110431742, SorghumLOC110432633, SorghumLOC110432797, SorghumLOC110432890, SorghumLOC110433029, SorghumLOC110433157, SorghumLOC110433168, SorghumLOC110433631, SorghumLOC110433782, SorghumLOC110433855, SorghumLOC110434067, SorghumLOC110434616, SorghumLOC110434715, SorghumLOC110434716, SorghumLOC110434751, SorghumLOC110434815, SorghumLOC110434825, SorghumLOC110434831, SorghumLOC110434934, SorghumLOC110435123, SorghumLOC110435879, SorghumLOC110435946, SorghumLOC110436390, SorghumLOC110436406, SorghumLOC110436490, SorghumLOC110437041, SorghumLOC110437207, SorghumLOC110437279, SorghumLOC110437533, SorghumLOC8069294, SorghumLOC8074243, SorghumLOC8077537, SorghumLOC8084229, SorghumLOC8155651	GWHGABKY005264
OG0000002	BrachyLOC100822539, BrachyLOC100834006, BrachyLOC100844534, BrachyLOC104582142, BrachyLOC106865635, BrachyLOC112270992	MaizeLOC100216790, MaizeLOC100384556, MaizeLOC103625741, MaizeLOC103625779, MaizeLOC103627763, MaizeLOC103628236, MaizeLOC103629717, MaizeLOC103630396, MaizeLOC103630667, MaizeLOC103631653, MaizeLOC103632794, MaizeLOC103633325, MaizeLOC103633894, MaizeLOC103634734, MaizeLOC103634807, MaizeLOC103635166, MaizeLOC103635792, MaizeLOC103636592, MaizeLOC103637836, MaizeLOC103639058, MaizeLOC103640655, MaizeLOC103641767, MaizeLOC103641976, MaizeLOC103642215, MaizeLOC103643021, MaizeLOC103643268, MaizeLOC103644292, MaizeLOC103645779, MaizeLOC103646069, MaizeLOC103646354, MaizeLOC103647887, MaizeLOC103649746, MaizeLOC103649795, MaizeLOC103650414, MaizeLOC103651572, MaizeLOC103652110, MaizeLOC103652464, MaizeLOC103653273, MaizeLOC103653714, MaizeLOC103654639, MaizeLOC103654747, MaizeLOC109939561, MaizeLOC109942334, MaizeLOC109942421, MaizeLOC109943568, MaizeLOC109945318, MaizeLOC118473157, MaizeLOC118476322, MaizeLOC118477076	RiceLOC107278287, RiceLOC107278682, RiceLOC107279021, RiceLOC107279611, RiceLOC107279986, RiceLOC107280429, RiceLOC107280787, RiceLOC107280873, RiceLOC107281086, RiceLOC107281520, RiceLOC107282058, RiceLOC112938007, RiceLOC112938162, RiceLOC112938958, RiceLOC112939018, RiceLOC4336234, RiceLOC4341169, RiceLOC4342832, RiceLOC4345278, RiceLOC9269211, RiceLOC9270722, RiceLOC9271236, RiceLOC9271854	SorghumLOC110431164, SorghumLOC110432562, SorghumLOC110432602, SorghumLOC110432683, SorghumLOC110432752, SorghumLOC110435080, SorghumLOC110435495, SorghumLOC110436365, SorghumLOC110436661, SorghumLOC110437204, SorghumLOC110437233, SorghumLOC110437586, SorghumLOC8062633, SorghumLOC8067478, SorghumLOC8068540, SorghumLOC8071895, SorghumLOC8082349, SorghumLOC8155272, SorghumLOC8155402	GWHGABKY005146, GWHGABKY025681, GWHGABKY044013
OG0000003	BrachyLOC104583351, BrachyLOC112269247, BrachyLOC112269731	MaizeLOC103631452, MaizeLOC103632840, MaizeLOC103633011, MaizeLOC103635520, MaizeLOC103637501, MaizeLOC103639305, MaizeLOC103641469, MaizeLOC103641778, MaizeLOC103642059, MaizeLOC103643129, MaizeLOC103644543, MaizeLOC103648539, MaizeLOC103653712, MaizeLOC103655642, MaizeLOC109939442, MaizeLOC109939552, MaizeLOC109940949, MaizeLOC109942362, MaizeLOC109942387, MaizeLOC109942635, MaizeLOC109943114, MaizeLOC109943115, MaizeLOC109943540, MaizeLOC109943584, MaizeLOC109943754, MaizeLOC109943956, MaizeLOC109944401, MaizeLOC109945557, MaizeLOC118476451, MaizeLOC118476769	RiceLOC107279741	SorghumLOC110429993, SorghumLOC110430543, SorghumLOC110430583, SorghumLOC110431265, SorghumLOC110431342, SorghumLOC110431356, SorghumLOC110431378, SorghumLOC110431381, SorghumLOC110431388, SorghumLOC110431391, SorghumLOC110431826, SorghumLOC110431853, SorghumLOC110431930, SorghumLOC110431944, SorghumLOC110431961, SorghumLOC110432470, SorghumLOC110432485, SorghumLOC110433063, SorghumLOC110433079, SorghumLOC110433604, SorghumLOC110433651, SorghumLOC110434117, SorghumLOC110434120, SorghumLOC110434222, SorghumLOC110434225, SorghumLOC110434898, SorghumLOC110435798, SorghumLOC110436466, SorghumLOC110437368, SorghumLOC8061325, SorghumLOC8062152	GWHGABKY001966, GWHGABKY002208, GWHGABKY003520, GWHGABKY004129, GWHGABKY006961, GWHGABKY008248, GWHGABKY012188, GWHGABKY012278, GWHGABKY013354, GWHGABKY013375, GWHGABKY015588, GWHGABKY018112, GWHGABKY020366, GWHGABKY021024, GWHGABKY021274, GWHGABKY022661, GWHGABKY023151, GWHGABKY024207, GWHGABKY024824, GWHGABKY026912, GWHGABKY027374, GWHGABKY030085, GWHGABKY030236, GWHGABKY030940, GWHGABKY032186, GWHGABKY034664, GWHGABKY039247, GWHGABKY040410, GWHGABKY041711, GWHGABKY042552, GWHGABKY042608, GWHGABKY043483
OG0000004		MaizeLOC100304227, MaizeLOC103630141, MaizeLOC103634188, MaizeLOC103634238, MaizeLOC103637244, MaizeLOC103638666, MaizeLOC103639306, MaizeLOC103639710, MaizeLOC103639748, MaizeLOC103640551, MaizeLOC103643457, MaizeLOC103644389, MaizeLOC103644544, MaizeLOC103644657, MaizeLOC103645197, MaizeLOC103645774, MaizeLOC103646250, MaizeLOC103647367, MaizeLOC103651124, MaizeLOC103651860, MaizeLOC103652448, MaizeLOC109939953, MaizeLOC109942294, MaizeLOC109942429, MaizeLOC109942594, MaizeLOC109943021, MaizeLOC109944083, MaizeLOC109944108, MaizeLOC109944143, MaizeLOC109945820, MaizeLOC111589571, MaizeLOC111590174, MaizeLOC118473051, MaizeLOC118473197, MaizeLOC118473242, MaizeLOC118473245, MaizeLOC118473302, MaizeLOC118476261	RiceLOC107277593, RiceLOC107278826, RiceLOC107278870, RiceLOC107278918, RiceLOC107279069, RiceLOC107279212, RiceLOC107279376, RiceLOC107279467, RiceLOC107279724, RiceLOC107279732, RiceLOC107280035, RiceLOC107280076, RiceLOC107280250, RiceLOC107280340, RiceLOC107280377, RiceLOC107280713, RiceLOC107280905, RiceLOC107280970, RiceLOC107281059, RiceLOC107281503, RiceLOC107281569, RiceLOC107281649, RiceLOC107281694, RiceLOC107281891, RiceLOC107281999, RiceLOC112936207, RiceLOC112936593, RiceLOC112937331, RiceLOC112937878, RiceLOC112938228, RiceLOC112938232, RiceLOC112939049, RiceLOC112939084, RiceLOC112939656, RiceLOC9268563	SorghumLOC110430472, SorghumLOC110430494, SorghumLOC110430926, SorghumLOC110431094, SorghumLOC110431430, SorghumLOC110432002, SorghumLOC110432632, SorghumLOC110432729, SorghumLOC110432800, SorghumLOC110433316, SorghumLOC110433613, SorghumLOC110433619, SorghumLOC110433652, SorghumLOC110433672, SorghumLOC110434838, SorghumLOC110434861, SorghumLOC110434897, SorghumLOC110435007, SorghumLOC8057391, SorghumLOC8065364, SorghumLOC8065452, SorghumLOC8070640	GWHGABKY030188
OG0000005	BrachyLOC100821316, BrachyLOC100821317, BrachyLOC100821537, BrachyLOC100825684, BrachyLOC100827546, BrachyLOC100828404, BrachyLOC100832196, BrachyLOC100833043, BrachyLOC100840161, BrachyLOC100842946, BrachyLOC100843691, BrachyLOC100846197, BrachyLOC100846705, BrachyLOC104581290, BrachyLOC104581332, BrachyLOC104581340, BrachyLOC104583348, BrachyLOC104584048, BrachyLOC104584049, BrachyLOC104585058, BrachyLOC112268667, BrachyLOC112269257, BrachyLOC112270642, BrachyLOC112271662, BrachyLOC112271663	MaizeLOC103628199, MaizeLOC103634350, MaizeLOC109941249, MaizeLOC109943485, MaizeLOC111590170, MaizeLOC118472323, MaizeLOC118473040, MaizeLOC118473168, MaizeLOC118473405, MaizeLOC118473426, MaizeLOC118473437, MaizeLOC118473457, MaizeLOC118476255, MaizeLOC118476424	RiceLOC107279059, RiceLOC107279988, RiceLOC107279989, RiceLOC107280177, RiceLOC107280211, RiceLOC112938235, RiceLOC112938302, RiceLOC112938725, RiceLOC4326592, RiceLOC4348239, RiceLOC9269049, RiceLOC9269978	SorghumLOC110429524, SorghumLOC110429529, SorghumLOC110431045, SorghumLOC110431071, SorghumLOC110432688, SorghumLOC110433768, SorghumLOC110434323, SorghumLOC110434725, SorghumLOC110435699, SorghumLOC110435807, SorghumLOC110435897, SorghumLOC110435945, SorghumLOC8055537, SorghumLOC8056289, SorghumLOC8058009, SorghumLOC8058288, SorghumLOC8061475, SorghumLOC8064678, SorghumLOC8064874, SorghumLOC8065775, SorghumLOC8066016, SorghumLOC8066369, SorghumLOC8067453, SorghumLOC8071806, SorghumLOC8071841, SorghumLOC8072026, SorghumLOC8074990, SorghumLOC8075392, SorghumLOC8075679, SorghumLOC8075759, SorghumLOC8075793, SorghumLOC8076113, SorghumLOC8077852, SorghumLOC8080251, SorghumLOC8081762, SorghumLOC8083858, SorghumLOC8084144, SorghumLOC8085778, SorghumLOC8155712	GWHGABKY003274, GWHGABKY013696
OG0000006	BrachyLOC100822292, BrachyLOC104581598, BrachyLOC104581761, BrachyLOC104581811, BrachyLOC104582877, BrachyLOC104584235, BrachyLOC106866049, BrachyLOC112269519, BrachyLOC112270151	MaizeLOC100193237, MaizeLOC100273677, MaizeLOC100381957, MaizeLOC103625858, MaizeLOC103627015, MaizeLOC103629658, MaizeLOC103634658, MaizeLOC103636663, MaizeLOC103640700, MaizeLOC103641234, MaizeLOC103641546, MaizeLOC103643330, MaizeLOC103644605, MaizeLOC103645803, MaizeLOC103645809, MaizeLOC103646000, MaizeLOC103647372, MaizeLOC103649717, MaizeLOC103649939, MaizeLOC103650597, MaizeLOC103650603, MaizeLOC103650643, MaizeLOC103651462, MaizeLOC103653296, MaizeLOC103654908, MaizeLOC109939871, MaizeLOC109942758, MaizeLOC109945133, MaizeLOC109945324, MaizeLOC109945987, MaizeLOC109946050, MaizeLOC111589966, MaizeLOC118476786, MaizeLOC542563	RiceLOC107277269, RiceLOC107278819, RiceLOC107279144, RiceLOC107280022, RiceLOC107280329, RiceLOC107280800, RiceLOC107281576, RiceLOC107282045, RiceLOC4326182, RiceLOC4338153, RiceLOC4341601, RiceLOC4341739, RiceLOC4351616, RiceLOC9267962, RiceLOC9269909, RiceLOC9272305	SorghumLOC110431691, SorghumLOC110431894, SorghumLOC110434088, SorghumLOC110435631, SorghumLOC110436189, SorghumLOC110436437, SorghumLOC110436838, SorghumLOC110437026, SorghumLOC8056711, SorghumLOC8057952, SorghumLOC8059199, SorghumLOC8059468, SorghumLOC8059796, SorghumLOC8061168, SorghumLOC8061925, SorghumLOC8062308, SorghumLOC8064456, SorghumLOC8064677, SorghumLOC8068718, SorghumLOC8069033, SorghumLOC8069979, SorghumLOC8070368, SorghumLOC8071340, SorghumLOC8073610, SorghumLOC8074950, SorghumLOC8079419, SorghumLOC8079872, SorghumLOC8080011, SorghumLOC8083406, SorghumLOC8155646	GWHGABKY006081
OG0000007	BrachyLOC100826309, BrachyLOC100832632, BrachyLOC100832710, BrachyLOC100837391, BrachyLOC100839478, BrachyLOC100844186, BrachyLOC100844952, BrachyLOC104585166, BrachyLOC112269752	MaizeLOC100283371, MaizeLOC100285135, MaizeLOC103626059, MaizeLOC103626999, MaizeLOC103627448, MaizeLOC103628121, MaizeLOC103628228, MaizeLOC103629477, MaizeLOC103633679, MaizeLOC103639639, MaizeLOC103640350, MaizeLOC103643677, MaizeLOC103644319, MaizeLOC103645095, MaizeLOC103645209, MaizeLOC103645288, MaizeLOC103645659, MaizeLOC103646893, MaizeLOC103649430, MaizeLOC103651381, MaizeLOC103652980, MaizeLOC103655379, MaizeLOC103655498, MaizeLOC109939252, MaizeLOC109940914, MaizeLOC109942017, MaizeLOC109942359, MaizeLOC109942739, MaizeLOC109943051, MaizeLOC109944074, MaizeLOC111589321, MaizeLOC111589567, MaizeLOC111589956, MaizeLOC111589971, MaizeLOC111590172, MaizeLOC111590270, MaizeLOC118472107, MaizeLOC118472108	RiceLOC107275367, RiceLOC107277915, RiceLOC107279566, RiceLOC107280655, RiceLOC107280833, RiceLOC107280916, RiceLOC107281725, RiceLOC112936056, RiceLOC112936096, RiceLOC112938807, RiceLOC112939248, RiceLOC112939279, RiceLOC112939682, RiceLOC4327942, RiceLOC4344453, RiceLOC9270097	SorghumLOC110430465, SorghumLOC110430467, SorghumLOC110432260, SorghumLOC110432467, SorghumLOC110432536, SorghumLOC110433427, SorghumLOC110433700, SorghumLOC110433732, SorghumLOC110434712, SorghumLOC110434895, SorghumLOC110435527, SorghumLOC110435670, SorghumLOC110435951, SorghumLOC110436255, SorghumLOC110437529, SorghumLOC8057937, SorghumLOC8068643, SorghumLOC8073370, SorghumLOC8076608, SorghumLOC8083359, SorghumLOC8084724, SorghumLOC8085118, SorghumLOC8085475	GWHGABKY010122
OG0000008	BrachyLOC100824204, BrachyLOC100825109, BrachyLOC100825425, BrachyLOC100840644, BrachyLOC100840943, BrachyLOC100841249, BrachyLOC100841556, BrachyLOC100842050, BrachyLOC100842357, BrachyLOC100842663	MaizeLOC100286113, MaizeLOC103653008, MaizeLOC103653009, MaizeLOC103653010, MaizeLOC103653011, MaizeLOC103653012, MaizeLOC103653013, MaizeLOC103653014, MaizeLOC103653015, MaizeLOC103653016, MaizeLOC103653018, MaizeLOC103653019, MaizeLOC103653021, MaizeLOC103653022, MaizeLOC103653023, MaizeLOC103653024, MaizeLOC103653025, MaizeLOC109945489	RiceLOC112935981, RiceLOC112935992, RiceLOC112936027, RiceLOC4344838, RiceLOC4344841, RiceLOC4344843, RiceLOC4344844, RiceLOC4344846, RiceLOC4351537, RiceLOC4351538, RiceLOC4351539, RiceLOC9272376	SorghumLOC110436827, SorghumLOC110436832, SorghumLOC110436833, SorghumLOC110436836, SorghumLOC110436839, SorghumLOC110437122, SorghumLOC110437123, SorghumLOC110437126, SorghumLOC110437133, SorghumLOC110437392, SorghumLOC8071121, SorghumLOC8071124, SorghumLOC8071125, SorghumLOC8071126, SorghumLOC8071127, SorghumLOC8071128, SorghumLOC8071131, SorghumLOC8071133, SorghumLOC8071134, SorghumLOC8071135, SorghumLOC8155547	GWHGABKY013280, GWHGABKY024335, GWHGABKY024336, GWHGABKY024337, GWHGABKY024339, GWHGABKY024340, GWHGABKY024342, GWHGABKY024343, GWHGABKY024344, GWHGABKY024345, GWHGABKY024348, GWHGABKY024349, GWHGABKY024354, GWHGABKY024356, GWHGABKY024357, GWHGABKY024358, GWHGABKY024359, GWHGABKY024362, GWHGABKY024363, GWHGABKY024365, GWHGABKY024366, GWHGABKY024369, GWHGABKY024370, GWHGABKY024372, GWHGABKY024373, GWHGABKY024374
OG0000009	BrachyLOC104581293, BrachyLOC104582295, BrachyLOC104584003	MaizeLOC103626254, MaizeLOC103626334, MaizeLOC103628041, MaizeLOC103631218, MaizeLOC103631257, MaizeLOC103631618, MaizeLOC103632107, MaizeLOC103632723, MaizeLOC103633821, MaizeLOC103636728, MaizeLOC103636773, MaizeLOC103637365, MaizeLOC103637495, MaizeLOC103639625, MaizeLOC103639647, MaizeLOC103639832, MaizeLOC103640469, MaizeLOC103642869, MaizeLOC103643817, MaizeLOC103644186, MaizeLOC103644693, MaizeLOC103645387, MaizeLOC103646144, MaizeLOC103646729, MaizeLOC103648402, MaizeLOC103649113, MaizeLOC103649185, MaizeLOC103649477, MaizeLOC103649668, MaizeLOC103651206, MaizeLOC103651433, MaizeLOC103651448, MaizeLOC103651683, MaizeLOC103652151, MaizeLOC103652209, MaizeLOC103653094, MaizeLOC103654119, MaizeLOC103654738, MaizeLOC103654850, MaizeLOC103655158, MaizeLOC109939259, MaizeLOC109939328, MaizeLOC109939361, MaizeLOC109939633, MaizeLOC109939645, MaizeLOC109939686, MaizeLOC109940136, MaizeLOC109940493, MaizeLOC109940829, MaizeLOC109941004, MaizeLOC109941094, MaizeLOC109941889, MaizeLOC109941915, MaizeLOC109942313, MaizeLOC109942899, MaizeLOC109943665, MaizeLOC109943758, MaizeLOC109944041, MaizeLOC109944116, MaizeLOC109945495, MaizeLOC109945927, MaizeLOC118471944, MaizeLOC118473183, MaizeLOC118473217, MaizeLOC118473220, MaizeLOC118473290, MaizeLOC118473463, MaizeLOC118476238, MaizeLOC118477056	RiceLOC107276495, RiceLOC112936979, RiceLOC112938624, RiceLOC112939366, RiceLOC112939687, RiceLOC4341003, RiceLOC9269631		
